epoch,loss
0,9006.871110632064
1,5323.608417916806
2,5322.829797623005
3,5322.139448449967
4,5321.901567175033
5,5321.829192465924
6,5321.825519967587
7,5321.7983580244345
8,5321.82260326629
9,5321.809241761553
10,5321.818582737699
11,5321.776976240442
12,5321.741299243684
13,5321.622339126911
14,5321.529817621758
15,5321.473995127576
16,5321.3916015625
17,5321.387464158079
18,5321.456417002576
19,5321.391731424535
20,5321.4056695167055
21,5321.642143087184
22,5321.388008280003
23,5321.393174191739
24,5321.4092718895445
25,5321.405113707197
26,5321.491594030502
27,5321.429155065658
28,5321.428987543633
29,5321.4381402198305
30,5321.459989507148
31,5321.4735406104555
32,5321.479623348155
33,5321.475088565908
34,5321.510201961436
35,5321.494757469664
36,5321.508076119931
37,5321.544662150931
38,5321.522044080369
39,5321.53207592254
40,5321.545608845163
41,5321.540533836852
42,5321.573153881316
43,5321.5528109936
44,5321.559141767786
45,5321.564367416057
46,5321.56986058012
47,5321.563486951462
48,5321.56832301363
49,5321.560683230136
50,5322.059866397939
51,5321.550528019033
52,5321.5460425843585
53,5321.541062375332
54,5321.53564712849
55,5321.529922810007
56,5321.524095900515
57,5321.518174191739
58,5321.512362865691
59,5321.507272273936
60,5321.500890853557
61,5321.495319772274
62,5321.490012310921
63,5321.484932108128
64,5321.479990857712
65,5321.475258685173
66,5321.47066416639
67,5321.465694346326
68,5321.462455587184
69,5321.456968916224
70,5321.454798921625
71,5321.449397959607
72,5321.446657870678
73,5321.4417828499
74,5321.438286963929
75,5321.435566354306
76,5321.432304219997
77,5321.429740743434
78,5321.427852549451
79,5321.42379176363
80,5321.423172321725
81,5321.420915319564
82,5321.419258280003
83,5321.4173804749835
84,5321.415293592087
85,5321.412639212101
86,5321.412158722573
87,5321.4093835708945
88,5321.407416161071
89,5321.406014949717
90,5321.403980011635
91,5321.4024956885805
92,5321.400703592503
93,5321.399221866689
94,5321.396737605967
95,5321.395927266872
96,5321.394928627826
97,5321.3932404213765
98,5321.390204247008
99,5321.39118600399
100,5321.388603048122
101,5321.388461498504
102,5321.385542199967
103,5321.384560442985
104,5321.384169558261
105,5321.3835631025595
106,5321.3847773125835
107,5321.381965799535
108,5321.380751589511
109,5321.380358107546
110,5321.382459275266
111,5321.381696985123
112,5321.381412587268
113,5321.379310120928
114,5321.379639970495
115,5321.37883222864
116,5321.378351739112
117,5321.37744400349
118,5321.37793098612
119,5321.377781644781
120,5321.377558282081
121,5321.380150328291
122,5321.378619254903
123,5321.380982743933
124,5321.3805749771445
125,5321.38236317736
126,5321.3832968853885
127,5321.3831488426695
128,5321.384412400266
129,5321.385156509724
130,5321.384335781666
131,5321.384057876911
132,5321.385409740691
133,5321.386214885306
134,5321.38409034242
135,5321.383326753657
136,5321.385061710439
137,5321.385446102061
138,5321.384340976147
139,5321.381300905918
140,5321.383098196476
141,5321.381630755485
142,5321.383077418551
143,5321.38194891747
144,5321.379637373255
145,5321.379660748421
146,5321.379310120928
147,5321.378989361702
148,5321.378353037732
149,5321.377643991024
150,5321.377189473903
151,5321.376823262965
152,5321.375986951462
153,5321.375857089428
154,5321.375370106799
155,5321.374554573222
156,5321.374564962184
157,5321.374563663564
158,5321.373935131316
159,5321.372722219913
160,5321.373449447307
161,5321.3726287192485
162,5321.372715726812
163,5321.372431328956
164,5321.371772928441
165,5321.371272959607
166,5321.37105868725
167,5321.370248348155
168,5321.369763962766
169,5321.3691445208615
170,5321.368699094082
171,5321.367906935671
172,5321.367281000665
173,5321.366545981549
174,5321.3662291181845
175,5321.365713565908
176,5321.365081137799
177,5321.36433313248
178,5321.363811087101
179,5321.363527987865
180,5321.362837121842
181,5321.362333257148
182,5321.361756669714
183,5321.361193068484
184,5321.360860621676
185,5321.36038792387
186,5321.359746405419
187,5321.359173713847
188,5321.358588036071
189,5321.358132220329
190,5321.357562125997
191,5321.35704787234
192,5321.356460895944
193,5321.355738863032
194,5321.355088254239
195,5321.354344144781
196,5321.353796126995
197,5321.353367582281
198,5321.3527429458945
199,5321.352115712268
200,5321.351507957946
201,5321.35103785738
202,5321.350528798205
203,5321.349915849401
204,5321.349280824053
205,5321.348788646941
206,5321.348262705701
207,5321.347703000332
208,5321.347180954954
209,5321.346645923371
210,5321.346149850399
211,5321.345645985705
212,5321.3452109478885
213,5321.344753833528
214,5321.344173350232
215,5321.3437681806845
216,5321.343287691157
217,5321.342874729887
218,5321.342413719664
219,5321.34198387633
220,5321.341613769531
221,5321.341209898604
222,5321.340800833194
223,5321.340417740193
224,5321.340067112699
225,5321.339719082447
226,5321.339368454954
227,5321.3390191260805
228,5321.33871784616
229,5321.33841786486
230,5321.338103598737
231,5321.337789332613
232,5321.337498441656
233,5321.337262092753
234,5321.336998472822
235,5321.336734852893
236,5321.336533566739
237,5321.336310204039
238,5321.336075153757
239,5321.335856985538
240,5321.335714137301
241,5321.335527135971
242,5321.335358315326
243,5321.335210272607
244,5321.3350531395445
245,5321.3349791181845
246,5321.334823283743
247,5321.334714199635
248,5321.334589532081
249,5321.334519406582
250,5321.33443369764
251,5321.334392141788
252,5321.334311627327
253,5321.334231112865
254,5321.334262279754
255,5321.334262279754
256,5321.334257085273
257,5321.334259682513
258,5321.334272668717
259,5321.3342765645775
260,5321.334341495595
261,5321.334425905918
262,5321.3344687603885
263,5321.334536288647
264,5321.334634983793
265,5321.334709005153
266,5321.334867436835
267,5321.334914187168
268,5321.335090799535
269,5321.335205078125
270,5321.33537389877
271,5321.335550511137
272,5321.335731019365
273,5321.335920617936
